anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,Tracy Wolff,,62,411
1994,Alice Oseman,2019-07-19T22:48:02.648074,21,412
1869,Booth Tarkington,2008-04-01T03:28:50.625462,415,413
,,,29,414
,,2018-07-11T20:36:03.506810,2,415
,,2020-05-31T21:21:01.795698,11,416
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,417
1971,Dan Harris,2019-05-24T00:49:41.517454,4,418
,,2022-01-28T10:21:16.156929,4,419
,Dennis Craig Smith,2008-04-01T03:28:50.625462,2,420
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,421
,Catherine Carrigan,,7,422
,,,4,423
1955,William P. Young,2017-05-01T23:42:56.115571,11,424
,,2021-08-11T02:20:28.989803,3,425
1950,Mollie Katzen,,34,426
,Michael Goldberg,,31,427
1963,BRIAN GREENE,2008-04-29T13:35:46.876380,28,428
1805,"Smith, Joseph",2008-04-29T13:35:46.876380,132,429
,,,6,430
,,2021-06-22T11:34:18.698404,1,431
,,2019-10-25T17:23:27.141739,17,432
,,2021-08-11T13:40:24.483593,4,433
,,,,434
,,2020-10-25T20:00:05.208444,2,435
,,,3,436
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,160,437
1956,David Sedaris,2008-04-01T03:28:50.625462,35,438
,,2020-09-17T19:02:20.426988,179,439
,Andrew Leatherbarrow,2017-06-24T02:35:02.983108,7,440
1834,"Morris, William",2008-04-01T03:28:50.625462,514,441
,,,,442
,,2021-09-09T00:25:31.010832,2,443
,,2021-07-02T23:48:42.761086,1,444
,,2008-04-29T15:03:11.581851,5,445
,,2019-02-04T23:45:02.567508,19,446
1977,,2016-07-19T18:24:45.650779,1,447
,,,10,448
1962,Rachel Joyce,2012-01-25T10:56:17.860287,36,449
,Betty Edwards,,22,450
,Skip Hollandsworth,2019-05-13T12:35:29.545007,2,451
1920,Ray Bradbury,2008-04-01T03:28:50.625462,795,452
1963,Yann Martel,2008-04-01T03:28:50.625462,19,453
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,454
,Michael E. Gerber,,52,455
,Dana Elmendorf,2019-07-19T12:56:16.655781,2,456
,Charles Duhigg,2011-07-30T12:53:03.421693,19,457
,Anita Krishan,2022-12-19T01:38:42.095488,8,458
1940,Robyn Donald,2008-04-01T03:28:50.625462,230,459
,Victoria Jamieson,2008-11-16T09:19:18.474392,13,460
1965,C. Brené Brown,2008-04-30T09:38:13.731961,57,461
,,,2,462
,Legs McNeil,,14,463
,,,,464
,Huntley Fitzpatrick,2011-10-22T09:14:05.007768,12,465
,Anna Quindlen,2008-04-01T03:28:50.625462,151,466
1905,Viktor Emil Frankl,2008-10-31T19:40:01.378223,136,467
,Linda Lewis,,65,468
,D. Merilee Clunis,,5,469
1821,Charles Baudelaire,2008-04-01T03:28:50.625462,1261,470
,,2020-05-21T22:41:27.261829,78,471
,,,18,472
1813,Søren Kierkegaard,2008-04-01T03:28:50.625462,1068,473
,,2019-10-13T09:37:09.643629,1,474
1965,Jandy Nelson,2009-07-27T00:23:00.077816,12,475
1962,Harlan Coben,2008-04-01T03:28:50.625462,70,476
,David Means,2008-12-19T17:56:54.537679,16,477
